quarter,gdp_growth_qoq (decimal),unemployment_rate (decimal),house_price_growth_qoq (decimal),policy_rate (decimal),gilt_10y_yield (decimal)
2011Q2,0.0,0.079,0.007941009642654429,0.005,0.035253
2011Q3,0.002,0.083,0.012380416432189234,0.005,0.025625
2011Q4,0.001,0.084,-0.013896609227348589,0.005,0.022414999999999997
2012Q1,0.009000000000000001,0.08199999999999999,-0.010146561443066582,0.005,0.023544999999999996
2012Q2,-0.001,0.08,0.01765375854214124,0.005,0.018085
2012Q3,0.01,0.078,0.011191941801902638,0.005,0.01765
2012Q4,-0.001,0.078,-0.009407858328721597,0.005,0.018896
2013Q1,0.003,0.078,-0.006145251396647899,0.005,0.020388000000000003
2013Q2,0.006999999999999999,0.077,0.02023608768971319,0.005,0.023746
2013Q3,0.008,0.076,0.024242424242424176,0.005,0.029384
2013Q4,0.006999999999999999,0.07200000000000001,0.00591715976331364,0.005,0.030480999999999998
2014Q1,0.008,0.067,0.013368983957219083,0.005,0.028540999999999997
2014Q2,0.009000000000000001,0.063,0.03588390501319272,0.005,0.028425
2014Q3,0.008,0.06,0.03209373408048899,0.005,0.025213
2014Q4,0.006999999999999999,0.057,0.0014807502467917288,0.005,0.019345
2015Q1,0.003,0.055,-0.0029571217348447476,0.005,0.017789
2015Q2,0.005,0.055999999999999994,0.021255561047948568,0.005,0.021772999999999997
2015Q3,0.004,0.053,0.03291384317521784,0.005,0.018663
2015Q4,0.006,0.051,0.01171508903467644,0.005,0.019202
2016Q1,0.005,0.051,0.011579434923575826,0.005,0.015534
2016Q2,0.006999999999999999,0.049,0.0219780219780219,0.005,0.012985
2016Q3,0.004,0.048,0.02016129032258074,0.0025,0.008041
2016Q4,0.006,0.047,-0.0004391743522178526,0.0025,0.01456
2017Q1,0.01,0.046,0.002196836555360404,0.0025,0.012057
2017Q2,0.009000000000000001,0.044000000000000004,0.02192021043402015,0.0025,0.010887
2017Q3,0.006999999999999999,0.043,0.022737022737022716,0.0025,0.012563999999999999
2017Q4,0.008,0.044000000000000004,-0.000838926174496768,0.005,0.01284
2018Q1,0.001,0.042,-0.0016792611251048584,0.005,0.015255000000000001
2018Q2,0.002,0.04,0.011354079058031985,0.005,0.01433
2018Q3,0.003,0.040999999999999995,0.0195426195426196,0.0075,0.015105
2018Q4,0.001,0.04,-0.004893964110929905,0.0075,0.012802000000000001
2019Q1,0.005,0.038,-0.011475409836065653,0.0075,0.011741
2019Q2,0.002,0.039,0.0070480928689884426,0.0075,0.009146
2019Q3,0.006,0.039,0.016467682173733955,0.0075,0.005404
2019Q4,0.0,0.037000000000000005,-0.004050222762251865,0.0075,0.007792
2020Q1,-0.027000000000000003,0.040999999999999995,-0.0020333468889792705,0.003477,0.004045
2020Q2,-0.19899999999999998,0.040999999999999995,0.00203748981255103,0.001,0.002432
2020Q3,0.17,0.05,0.03009353395689307,0.001,0.002521
2020Q4,0.013999999999999999,0.053,0.028030003947887794,0.001,0.002986
2021Q1,-0.011000000000000001,0.049,0.015360983102918446,0.001,0.00861
2021Q2,0.07,0.047,0.017776096822995635,0.001,0.00866
2021Q3,0.017,0.044000000000000004,0.01858045336306202,0.001,0.008072000000000001
2021Q4,0.013999999999999999,0.042,0.01860634804815753,0.001714,0.008184
2022Q1,0.01,0.038,0.023638968481375366,0.006196,0.015168
2022Q2,0.006,0.038,0.025892232330301024,0.011375,0.023988999999999996
2022Q3,0.001,0.037000000000000005,0.03751705320600274,0.019167,0.034429
2022Q4,0.003,0.039,0.0006574621959236637,0.0325,0.03422
2023Q1,0.001,0.04,-0.023324572930354615,0.040761000000000006,0.034935999999999995
2023Q2,0.0,0.042,-0.004709048099562851,0.046590999999999994,0.042409999999999996
2023Q3,-0.002,0.040999999999999995,0.016559648529908655,0.0525,0.043442
2023Q4,-0.003,0.039,-0.01296542553191482,0.0525,0.038116
2024Q1,0.008,0.043,-0.011451667228022822,0.0525,0.039689
2024Q2,0.006,0.042,0.011584327086882285,0.0525,0.041159999999999995
2024Q3,0.002,0.043,0.022903334456045865,0.05,0.038716
2024Q4,0.003,0.044000000000000004,0.0019756338491934144,0.0475,0.044123
2025Q1,0.006999999999999999,0.045,0.008544199802826169,0.045,0.046501
2025Q2,0.002,0.047,-0.0058651026392961825,0.0425,0.045574
2025Q3,0.001,0.05,0.020648967551622377,0.04,0.047363
