quarter,policy_rate (decimal)
1990Q1,0.14875
1990Q2,0.14875
1990Q3,0.14875
1990Q4,0.13875
1991Q1,0.1275
1991Q2,0.11375
1991Q3,0.10422599999999999
1991Q4,0.10375
1992Q1,0.10375
1992Q2,0.09875
1992Q3,0.09556800000000001
1992Q4,0.06875
1993Q1,0.05875
1993Q2,0.05875
1993Q3,0.05875
1993Q4,0.05375
1994Q1,0.05125
1994Q2,0.05125
1994Q3,0.054659000000000006
1994Q4,0.060250000000000005
1995Q1,0.06625
1995Q2,0.06625
1995Q3,0.06625
1995Q4,0.064803
1996Q1,0.059821
1996Q2,0.057249999999999995
1996Q3,0.056875
1996Q4,0.059375
1997Q1,0.059375
1997Q2,0.064524
1997Q3,0.07
1997Q4,0.0725
1998Q1,0.0725
1998Q2,0.074659
1998Q3,0.075
1998Q4,0.064167
1999Q1,0.055
1999Q2,0.05079500000000001
1999Q3,0.051932
1999Q4,0.055
2000Q1,0.06
2000Q2,0.06
2000Q3,0.06
2000Q4,0.06
2001Q1,0.0575
2001Q2,0.0525
2001Q3,0.048875
2001Q4,0.04
2002Q1,0.04
2002Q2,0.04
2002Q3,0.04
2002Q4,0.04
2003Q1,0.0375
2003Q2,0.0375
2003Q3,0.035
2003Q4,0.0375
2004Q1,0.04
2004Q2,0.044204999999999994
2004Q3,0.0475
2004Q4,0.0475
2005Q1,0.0475
2005Q2,0.0475
2005Q3,0.045
2005Q4,0.045
2006Q1,0.045
2006Q2,0.045
2006Q3,0.0475
2006Q4,0.05
2007Q1,0.0525
2007Q2,0.055
2007Q3,0.0575
2007Q4,0.055395
2008Q1,0.0525
2008Q2,0.05
2008Q3,0.05
2008Q4,0.021429
2009Q1,0.005682
2009Q2,0.005
2009Q3,0.005
2009Q4,0.005
2010Q1,0.005
2010Q2,0.005
2010Q3,0.005
2010Q4,0.005
2011Q1,0.005
2011Q2,0.005
2011Q3,0.005
2011Q4,0.005
2012Q1,0.005
2012Q2,0.005
2012Q3,0.005
2012Q4,0.005
2013Q1,0.005
2013Q2,0.005
2013Q3,0.005
2013Q4,0.005
2014Q1,0.005
2014Q2,0.005
2014Q3,0.005
2014Q4,0.005
2015Q1,0.005
2015Q2,0.005
2015Q3,0.005
2015Q4,0.005
2016Q1,0.005
2016Q2,0.005
2016Q3,0.0025
2016Q4,0.0025
2017Q1,0.0025
2017Q2,0.0025
2017Q3,0.0025
2017Q4,0.005
2018Q1,0.005
2018Q2,0.005
2018Q3,0.0075
2018Q4,0.0075
2019Q1,0.0075
2019Q2,0.0075
2019Q3,0.0075
2019Q4,0.0075
2020Q1,0.003477
2020Q2,0.001
2020Q3,0.001
2020Q4,0.001
2021Q1,0.001
2021Q2,0.001
2021Q3,0.001
2021Q4,0.001714
2022Q1,0.006196
2022Q2,0.011375
2022Q3,0.019167
2022Q4,0.0325
2023Q1,0.040761000000000006
2023Q2,0.046590999999999994
2023Q3,0.0525
2023Q4,0.0525
2024Q1,0.0525
2024Q2,0.0525
2024Q3,0.05
2024Q4,0.0475
2025Q1,0.045
2025Q2,0.0425
2025Q3,0.04
2025Q4,0.04
