"UK House Price Index - Indices, countries and regions [note 1] [note 2] [note 6] [note 8]",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
This worksheet contains one table. Some cells refer to notes that can be found within the notes worksheet.,,,,,,,,,,,,,,,
Time period,United Kingdom,Great Britain,England,Wales,Scotland,Northern Ireland [note 3] ,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East ,London,South East,South West
Jan 2011,59.1,58.7,57.6,59.9,71.3,69.3,73.5,61.2,63.3,55.8,59,55,54,56.3,59
Feb 2011,58.7,58.4,57.4,60,69.2,69.3,73.3,60.8,64.3,56.2,58.1,54.4,53.5,56.4,58.6
Mar 2011,58.5,58.2,57.2,58.7,69.3,69.3,72.6,60.2,62.8,55.8,57.6,54.8,53.8,56.1,58.6
Apr 2011,59.4,59.1,58,60.6,71.4,68.2,74.9,61,64.7,56.1,58.6,55,55.1,56.7,58.8
May 2011,59.1,58.8,57.7,60.1,71.4,68.2,75.3,60.7,64.7,56.3,58.6,55.1,53.4,56.8,58.5
Jun 2011,59.2,58.9,57.8,60.2,72.1,68.2,75.1,60.5,64,56.4,58.7,54.9,53.6,57,59.2
Jul 2011,60,59.7,58.5,60.3,73.3,67,73.8,61.4,64.4,57.3,58.8,55.7,55.5,57.7,59.7
Aug 2011,60,59.7,58.6,60.7,72.8,67,73.4,61.9,65,57.5,58.8,55.9,55.3,57.3,59.9
Sep 2011,59.9,59.6,58.4,61.5,72.5,67,73.5,61.5,64.6,56.8,59.4,55.4,55.4,57.5,59.2
Oct 2011,59.2,58.9,57.9,59.9,71,65.2,72.9,61.1,63.5,56.3,58.3,55.4,54.8,56.7,59.3
Nov 2011,59.2,59,57.9,61.2,70.5,65.2,73.4,60,63.8,56.4,58.7,55.7,54.6,57.1,59
Dec 2011,59,58.7,57.7,59.8,69.2,65.2,72.3,60.3,63.7,56.8,57.8,55.4,54.8,57,58.5
Jan 2012,58.6,58.5,57.5,59.6,69.1,61,70.9,59.3,62.3,55.8,58.4,55.7,55.2,56.6,59.3
Feb 2012,58.4,58.3,57.5,59.3,67,61,71.4,60,62.8,55.7,57.8,55.3,54.8,56.8,59.2
Mar 2012,58.6,58.5,57.6,59.2,68.9,61,73.2,60.2,63.2,56.1,58.3,54.9,54.5,56.9,58.7
Apr 2012,59.3,59.2,58.3,60.1,68.8,61.1,72.8,60.4,62.9,56.7,58.2,56,56.1,58,59.6
May 2012,59.4,59.4,58.5,60.2,69.5,61.1,72.5,60,63.7,56.6,58,56.3,57,58.1,59.4
Jun 2012,60,59.9,59,61,70.5,61.1,73.7,61.2,64.3,57.1,59.4,56.2,57.5,58.3,59.9
Jul 2012,60.3,60.2,59.4,60.7,70.1,59.5,73.5,60.8,64.4,57.7,59.3,57,57.9,58.9,60.4
Aug 2012,60.3,60.3,59.5,60.4,69.7,59.5,75.1,61.3,64.7,57.2,59.3,57,58.1,59.2,60
Sep 2012,60.1,60.1,59.3,60,69.2,59.5,74.1,61.2,64.1,57,59.3,56.6,57.8,59.4,59.8
Oct 2012,59.7,59.7,58.9,59.5,68.5,58,73.3,59.8,63.5,57,58.6,56.8,58.2,58.4,59.9
Nov 2012,59.7,59.7,59,60.3,67.7,58,73.3,60.7,64,57.1,59.2,56.6,57.9,58.4,59.8
Dec 2012,59.6,59.6,58.9,59.6,67.1,58,72.1,60.2,63.7,56.9,59.3,56.4,58.8,58.7,58.7
Jan 2013,59.2,59.2,58.4,59.8,67.4,56.7,71.3,58.7,61.7,56.3,58.4,56.4,58.4,58.5,59.3
Feb 2013,59.2,59.2,58.5,59,66.1,56.7,70.3,59.9,62.9,56.3,58.5,55.9,58.8,58.2,59.1
Mar 2013,59.5,59.5,58.9,59.6,66.7,56.7,72.2,59.8,62.7,56.7,58.8,57,58.6,58.5,59.5
Apr 2013,60.1,60.1,59.4,59.4,67.8,57.8,72.4,60.1,62.9,57,58.9,57.1,60.2,59.2,60.4
May 2013,60.4,60.4,59.7,60.3,68.9,57.8,72.7,60.3,63.9,57.7,59.3,56.9,60.4,59.3,60.2
Jun 2013,61,61,60.1,60.7,69.9,57.8,72.5,61.1,64.2,57.8,60.2,57.5,60.9,60,60.3
Jul 2013,61.6,61.6,60.9,60.3,70.6,58.9,74.4,61.1,64.6,58.3,60.5,58.5,62.4,60.7,60.9
Aug 2013,62.1,62.1,61.3,61.4,71.3,58.9,75.4,62,64.8,58.9,61,58.7,63,60.9,61.4
Sep 2013,62.2,62.2,61.5,61,70.2,58.9,74.7,61.9,65.4,58.7,60.3,58.7,63.9,61.1,61.8
Oct 2013,61.9,61.9,61.2,60.1,70,59.3,70.8,60.8,64.3,59.1,60.8,59.2,63.8,61.1,61.6
Nov 2013,62.3,62.3,61.5,61,70.7,59.3,73.1,61.3,64.7,58.7,61,58.8,64.5,61.6,61.7
Dec 2013,62.8,62.8,62.3,60.3,69.8,59.3,72.9,61.9,65.5,59.7,61.2,60.2,66,62.1,62
Jan 2014,62.9,62.9,62.2,61.7,69.8,60.3,71.8,61.1,64.6,59.4,61.2,59.8,66.7,62.6,61.9
Feb 2014,63.2,63.2,62.5,62.1,68.7,60.3,72,61.9,65.6,60,60.9,60.2,67.1,62.7,62.1
Mar 2014,63.4,63.4,62.8,61.2,69.6,60.3,73,61.3,64.7,59.9,61.7,60.5,67.8,63.2,62.6
Apr 2014,64.8,64.8,64.2,62.2,71.2,62.3,74.2,62.9,66.6,61.1,62.5,61.7,70.4,64.2,63.7
May 2014,65.5,65.5,64.8,63.6,72.4,62.3,74.4,63.2,67,61.4,62.7,62.8,71.8,65.3,63.7
Jun 2014,66,66.1,65.4,63.3,73.3,62.3,76,64,67,62,63.5,63.3,72.6,65.9,63.9
Jul 2014,67,67,66.3,63.6,74.3,63.6,76.1,64.4,67.8,62.5,63.6,64.4,74.8,67,65.3
Aug 2014,67.8,67.8,67.2,64.1,74.5,63.6,76.1,65.1,68.6,63.4,64.6,65.1,75.9,67.9,66.1
Sep 2014,67.8,67.9,67.3,64.8,74.1,63.6,75.4,65,67.7,63.5,64.4,65.7,75.7,68.4,66.6
Oct 2014,67.7,67.8,67.2,64.1,74.2,64.5,74.4,64.7,68.1,63.1,64.4,66,75.4,68.5,66.2
Nov 2014,67.5,67.5,67,64.2,73.3,64.5,74.5,64.5,67.9,63,64.3,65.7,75.2,68.3,65.8
Dec 2014,67.7,67.7,67.2,64.2,72.9,64.5,74.5,64.4,68.4,63,64.5,66,75.6,68.7,66.1
Jan 2015,67.3,67.4,67,63.9,74.2,64.6,73.5,64.1,66.9,62.9,63.9,66.3,75.5,68.8,66.5
Feb 2015,67.4,67.4,67.2,63.6,72.9,64.6,74.4,64.6,67.3,63.1,64.6,66.6,75.9,68.8,65.6
Mar 2015,67.6,67.7,67.2,63.4,76.8,64.6,73.8,63.7,67.7,63.3,64.1,66.7,75.9,68.9,66.2
Apr 2015,68.2,68.3,68,64.3,73.7,66.6,76.3,64.7,68,63.7,65.1,67.4,77,69.8,67
May 2015,68.9,69,68.8,64.5,74.6,66.6,75.7,65.8,69.6,64.5,65.5,68.3,78,70.5,67.3
Jun 2015,69.5,69.6,69.3,65,75.3,66.6,76.9,65.6,69.7,65,66.2,68.6,78.7,71.5,67.9
Jul 2015,70.7,70.7,70.5,65.3,76.4,68.6,77,66.7,71.1,66,66.8,70.2,80.9,72.7,68.7
Aug 2015,71.3,71.4,71.3,66,76.2,68.6,77.6,67.1,71.4,66.8,67.6,71,81.8,73.6,69.7
Sep 2015,71.4,71.5,71.5,65.8,76,68.6,77.4,67.3,71,66.4,67.4,71.8,82.5,73.9,70.1
Oct 2015,71.5,71.6,71.6,66.1,75.7,69.2,76.2,66.9,70.9,67,67.4,72.2,82.6,74.4,70
Nov 2015,72.1,72.2,72.2,66.1,76.1,69.2,77.2,67.3,71.2,67.3,68,73.1,83.5,75,70.7
Dec 2015,72.3,72.4,72.5,66.4,75.1,69.2,77.5,67.3,71.5,67.6,68.1,73.5,84.4,75.7,70.8
Jan 2016,72.5,72.6,72.8,65.7,75.2,69.2,76,67.4,71,67.5,68.3,74.1,85.8,76.3,70.7
Feb 2016,72.6,72.7,72.9,66.9,74,69.2,76,67.4,71.3,67.3,67.9,74.2,85.8,76.8,71
Mar 2016,73.3,73.3,73.6,66.4,74.9,69.2,77.1,66.6,70.6,67.6,68.1,75.4,87.1,78,72.9
Apr 2016,73.6,73.6,73.9,66.6,75,71.8,76.8,69.1,72.8,68.7,69.6,75.4,86.5,77.4,71.1
May 2016,74.4,74.5,74.8,67.7,76,71.8,78.2,69.6,73,69.1,70.3,76.8,87.7,78.3,72.2
Jun 2016,75.2,75.3,75.5,68.7,77.1,71.8,79.6,69.8,73.8,69.6,71.1,77.6,87.8,79.3,73
Jul 2016,75.9,76,76.3,68.7,78.2,72.6,80.1,70.8,74.3,70.3,71.2,78.6,89.2,80.3,73.6
Aug 2016,76,76,76.4,68.2,77.4,72.6,79.1,70.8,74.4,70.6,72,78.8,88.5,80.6,73.9
Sep 2016,75.8,75.9,76.3,68,77.2,72.6,78.3,70.7,73.9,70.9,72,79.3,88.5,79.9,74
Oct 2016,75.6,75.7,76,68.8,76.7,72.8,77.9,69.9,73.9,70.6,71.3,79.2,88.3,80,73.6
Nov 2016,75.9,76,76.3,68.6,77.4,72.8,78.4,70.5,74.3,71.1,72.1,79.4,88.3,80,74
Dec 2016,76.1,76.2,76.6,68.7,76,72.8,79.3,70.5,74.9,71.5,72.3,80.1,88.6,80.3,73.8
Jan 2017,76,76.1,76.5,68.7,76,72.7,76.6,70.4,73.1,70.8,71.8,79.9,89.2,81.3,74.6
Feb 2017,76.1,76.2,76.9,68.4,74.8,72.7,77.8,71.1,74,71.7,72.3,80.5,89.4,80.6,74.7
Mar 2017,76,76.1,76.6,69.3,75.2,72.7,76.4,70.5,73.5,71.6,72.3,80,89.2,80.7,74.4
Apr 2017,77.2,77.3,77.6,70.3,77.5,74.1,78.4,71.7,75.3,72.8,73,81.2,90,81.5,75.1
May 2017,77.6,77.8,78.2,69.2,78.1,74.1,79.7,72.1,75.9,73.2,73.7,81.9,90.2,81.9,75.7
Jun 2017,78.3,78.4,78.8,70.5,78.9,74.1,80.4,73.1,76.5,73.7,74.5,82.3,90,82.7,76.5
Jul 2017,79.3,79.5,79.7,70.8,81.1,75.1,80.3,73.9,76.9,75,75.3,83.6,91.6,83.4,77.7
Aug 2017,79.7,79.8,80.1,71.7,80.9,75.1,81.4,74.6,77.6,74.8,76.2,83.5,91.3,84,78.2
Sep 2017,79.4,79.5,80,71.9,79.4,75.1,80,74.3,77.6,75.2,75.8,83.7,90.7,83.8,77.9
Oct 2017,79.5,79.6,79.9,72.7,79.7,75.5,80.7,74.1,77.1,75.3,76,83.8,90.3,83.7,78.4
Nov 2017,79.2,79.3,79.6,71.8,80.4,75.5,79.8,74.3,77.2,75.3,75.9,83.4,89.3,83.2,77.9
Dec 2017,79.5,79.7,80.1,72.1,79.8,75.5,81.6,74.8,77.8,75.7,76.7,83.9,89.4,83.3,77.8
Jan 2018,79.3,79.4,79.6,71.8,80.7,75.9,77.9,73.3,76.6,75.5,75.6,83.9,90,83.4,78.9
